pctChg1,pctChg2,pctChg3,pctChg4,pctChg5,pctChg6,pctChg7,pctChg8,pctChg9,pctChg10,pctChg11,pctChg12,pctChg13,pctChg14,y
-1.472,0.446,-0.873,-2.906,-1.146,-5.244,1.182,-4.281,-1.23,0.727,-0.797,2.626,2.475,2.015,1
0.446,-0.873,-2.906,-1.146,-5.244,1.182,-4.281,-1.23,0.727,-0.797,2.626,2.475,2.015,-1.924,0
-0.873,-2.906,-1.146,-5.244,1.182,-4.281,-1.23,0.727,-0.797,2.626,2.475,2.015,-1.924,1.724,0
-2.906,-1.146,-5.244,1.182,-4.281,-1.23,0.727,-0.797,2.626,2.475,2.015,-1.924,1.724,-1.009,0
-1.146,-5.244,1.182,-4.281,-1.23,0.727,-0.797,2.626,2.475,2.015,-1.924,1.724,-1.009,1.288,0
-5.244,1.182,-4.281,-1.23,0.727,-0.797,2.626,2.475,2.015,-1.924,1.724,-1.009,1.288,-2.253,0
1.182,-4.281,-1.23,0.727,-0.797,2.626,2.475,2.015,-1.924,1.724,-1.009,1.288,-2.253,3.878,0
-4.281,-1.23,0.727,-0.797,2.626,2.475,2.015,-1.924,1.724,-1.009,1.288,-2.253,3.878,-6.473,1
-1.23,0.727,-0.797,2.626,2.475,2.015,-1.924,1.724,-1.009,1.288,-2.253,3.878,-6.473,-1.047,0
0.727,-0.797,2.626,2.475,2.015,-1.924,1.724,-1.009,1.288,-2.253,3.878,-6.473,-1.047,-0.317,0
-0.797,2.626,2.475,2.015,-1.924,1.724,-1.009,1.288,-2.253,3.878,-6.473,-1.047,-0.317,2.909,0
2.626,2.475,2.015,-1.924,1.724,-1.009,1.288,-2.253,3.878,-6.473,-1.047,-0.317,2.909,3.735,0
2.475,2.015,-1.924,1.724,-1.009,1.288,-2.253,3.878,-6.473,-1.047,-0.317,2.909,3.735,-0.403,1
2.015,-1.924,1.724,-1.009,1.288,-2.253,3.878,-6.473,-1.047,-0.317,2.909,3.735,-0.403,-0.227,1
-1.924,1.724,-1.009,1.288,-2.253,3.878,-6.473,-1.047,-0.317,2.909,3.735,-0.403,-0.227,3.406,1
1.724,-1.009,1.288,-2.253,3.878,-6.473,-1.047,-0.317,2.909,3.735,-0.403,-0.227,3.406,4.425,0
-1.009,1.288,-2.253,3.878,-6.473,-1.047,-0.317,2.909,3.735,-0.403,-0.227,3.406,4.425,0.658,1
1.288,-2.253,3.878,-6.473,-1.047,-0.317,2.909,3.735,-0.403,-0.227,3.406,4.425,0.658,0.244,0
